0	2025-11-28 18:51:46.003257		PnP Event: Connect	DOWN	0x0	5c 00 3f 00 3f 00 5c 00 55 00 53 00 42 00 23 00 56 00 49 00 44 00 5f 00 30 00 36 00 37 00 42 00 26 00 50 00 49 00 44 00 5f 00 32 00 33 00 30 00 33 00 23 00 36 00 26 00 32 00 64 00 61 00 30 00 65 00 61 00 63 00 35 00 26 00 30 00 26 00 34 00 23 00 7b 00 30 00 31 00 30 00 30 00 66 00 64 00 64 00 37 00 2d 00 62 00 65 00 35 00 61 00 2d 00 34 00 38 00 30 00 38 00 2d 00 39 00 31 00 66 00 35 00 2d 00 30 00 35 00 30 00 30 00 32 00 62 00 63 00 36 00 30 00 66 00 37 00 32 00 7d 00 	\.?.?.\.U.S.B.#.V.I.D._.0.6.7.B.&.P.I.D._.2.3.0.3.#.6.&.2.d.a.0.e.a.c.5.&.0.&.4.#.{.0.1.0.0.f.d.d.7.-.b.e.5.a.-.4.8.0.8.-.9.1.f.5.-.0.5.0.0.2.b.c.6.0.f.7.2.}.
1814	2025-11-28 18:51:51.770865	0.014773	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1816	2025-11-28 18:51:51.771036	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1818	2025-11-28 18:51:51.771106	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1820	2025-11-28 18:51:51.771135	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1823	2025-11-28 18:51:51.771845	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1825	2025-11-28 18:51:51.771862	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1827	2025-11-28 18:51:51.771910	0.000012	IRP_MJ_READ	UP	0x0	eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f 	...n....*.........n....*.........n....*.........n....*....
1828	2025-11-28 18:51:51.787006	0.015095	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1830	2025-11-28 18:51:51.787180	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1832	2025-11-28 18:51:51.787258	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1834	2025-11-28 18:51:51.787289	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1837	2025-11-28 18:51:51.787568	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1839	2025-11-28 18:51:51.787585	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1841	2025-11-28 18:51:51.787621	0.000011	IRP_MJ_READ	UP	0x0	e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 da ab 2a 68 d7 bc a5 0b 1f a3 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 	.....n....*...........@!5.@..*h.......@!5.@.....l...n....*...
1842	2025-11-28 18:51:51.802913	0.015292	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1844	2025-11-28 18:51:51.803053	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1846	2025-11-28 18:51:51.803122	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1848	2025-11-28 18:51:51.803138	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1851	2025-11-28 18:51:51.803381	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1853	2025-11-28 18:51:51.803395	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1855	2025-11-28 18:51:51.803426	0.000010	IRP_MJ_READ	UP	0x0	16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf 	......n....*.........n....*.........n....*.........n....*.
1856	2025-11-28 18:51:51.814921	0.011495	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1858	2025-11-28 18:51:51.814994	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1860	2025-11-28 18:51:51.815038	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1862	2025-11-28 18:51:51.815061	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1865	2025-11-28 18:51:51.819217	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1867	2025-11-28 18:51:51.819234	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1869	2025-11-28 18:51:51.819262	0.000008	IRP_MJ_READ	UP	0x0	ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 ff ff dc ba 	........n....*...........@!5.@....
1870	2025-11-28 18:51:51.819548	0.000286	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e f7 04 40 21 37 d5 40 53 64 b3 da b1 fc dc ba 	.....m.....@!7.@Sd......
1873	2025-11-28 18:51:51.834851	0.000017	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
1874	2025-11-28 18:51:51.847462	0.012611	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1876	2025-11-28 18:51:51.847639	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1878	2025-11-28 18:51:51.847712	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1880	2025-11-28 18:51:51.847744	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1883	2025-11-28 18:51:51.850925	0.000021	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1885	2025-11-28 18:51:51.850950	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1887	2025-11-28 18:51:51.850999	0.000013	IRP_MJ_READ	UP	0x0	ab cd 0c 02 ea 6d 1c e4 2e f7 04 40 21 37 d5 40 da ab 2a 68 d7 bc a5 0b 1f a2 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	.....m.....@!7.@..*h.......@!5.@.....l...n....*.........n....
1888	2025-11-28 18:51:51.863562	0.012562	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1890	2025-11-28 18:51:51.863682	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1892	2025-11-28 18:51:51.863752	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1894	2025-11-28 18:51:51.863782	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1897	2025-11-28 18:51:51.866802	0.000018	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1899	2025-11-28 18:51:51.866816	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1901	2025-11-28 18:51:51.866851	0.000010	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf 	*.........n....*.........n....*.........n....*.........n..
1902	2025-11-28 18:51:51.879645	0.012793	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1904	2025-11-28 18:51:51.879821	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1906	2025-11-28 18:51:51.879893	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1908	2025-11-28 18:51:51.879924	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1911	2025-11-28 18:51:51.882856	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1913	2025-11-28 18:51:51.882876	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1915	2025-11-28 18:51:51.882919	0.000013	IRP_MJ_READ	UP	0x0	de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 da ab 2a 68 d7 bc a5 0b 1f a5 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e 	..*...........@!5.@..*h.......@!5.@.....l...n....*.........n
1916	2025-11-28 18:51:51.895504	0.012585	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1918	2025-11-28 18:51:51.895612	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1920	2025-11-28 18:51:51.895796	0.000019	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1922	2025-11-28 18:51:51.895840	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1925	2025-11-28 18:51:51.898735	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1927	2025-11-28 18:51:51.898762	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1929	2025-11-28 18:51:51.898807	0.000011	IRP_MJ_READ	UP	0x0	f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 	....*.........n....*.........n....*.........n....*........
1930	2025-11-28 18:51:51.911917	0.013109	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1932	2025-11-28 18:51:51.912089	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1934	2025-11-28 18:51:51.912153	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1936	2025-11-28 18:51:51.912183	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1939	2025-11-28 18:51:51.914727	0.000022	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1941	2025-11-28 18:51:51.914751	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1943	2025-11-28 18:51:51.914819	0.000016	IRP_MJ_READ	UP	0x0	d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 da ab 2a 68 d7 bc a5 0b 1f a4 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 	.n....*...........@!5.@..*h.......@!5.@.....l...n....*......
1944	2025-11-28 18:51:51.927902	0.013083	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1946	2025-11-28 18:51:51.928036	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1948	2025-11-28 18:51:51.928091	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1950	2025-11-28 18:51:51.928115	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1953	2025-11-28 18:51:51.930661	0.000021	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1955	2025-11-28 18:51:51.930687	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1957	2025-11-28 18:51:51.930737	0.000014	IRP_MJ_READ	UP	0x0	eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f 	...n....*.........n....*.........n....*.........n....*....
1958	2025-11-28 18:51:51.943916	0.013179	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1960	2025-11-28 18:51:51.944073	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1962	2025-11-28 18:51:51.944145	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1964	2025-11-28 18:51:51.944176	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1967	2025-11-28 18:51:51.946690	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1969	2025-11-28 18:51:51.946714	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1971	2025-11-28 18:51:51.946784	0.000029	IRP_MJ_READ	UP	0x0	e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 da ab 2a 68 d7 bc a5 0b 1f a7 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 	.....n....*...........@!5.@..*h.......@!5.@.....l...n....*...
1972	2025-11-28 18:51:51.960275	0.013491	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1974	2025-11-28 18:51:51.960446	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1976	2025-11-28 18:51:51.960511	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1978	2025-11-28 18:51:51.960541	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1981	2025-11-28 18:51:51.962807	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1983	2025-11-28 18:51:51.962846	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
1985	2025-11-28 18:51:51.962897	0.000014	IRP_MJ_READ	UP	0x0	16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf 	......n....*.........n....*.........n....*.........n....*.
1986	2025-11-28 18:51:51.972232	0.009335	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1988	2025-11-28 18:51:51.972384	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1990	2025-11-28 18:51:51.972445	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
1992	2025-11-28 18:51:51.972474	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1995	2025-11-28 18:51:51.979119	0.000021	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1997	2025-11-28 18:51:51.979144	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 	........$...........
1999	2025-11-28 18:51:51.979191	0.000013	IRP_MJ_READ	UP	0x0	ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 2e 91 0d 40 21 35 d5 40 ff ff dc ba 	........n....*...........@!5.@....
2000	2025-11-28 18:51:51.979423	0.000232	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e f9 04 40 21 37 d5 40 53 64 b3 da cb af dc ba 	.....m.....@!7.@Sd......
2003	2025-11-28 18:51:51.995024	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
2004	2025-11-28 18:51:52.004258	0.009234	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
2006	2025-11-28 18:51:52.004365	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
2008	2025-11-28 18:51:52.004421	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
2010	2025-11-28 18:51:52.004450	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
2013	2025-11-28 18:51:52.010989	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
2015	2025-11-28 18:51:52.011006	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
2017	2025-11-28 18:51:52.011042	0.000011	IRP_MJ_READ	UP	0x0	ab cd 0c 02 ea 6d 1c e4 2e f9 04 40 21 37 d5 40 da ab 2a 68 d7 bc a5 0b 1f a6 0d 40 21 35 d5 40 f4 00 0e 83 16 6c 14 e6 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	.....m.....@!7.@..*h.......@!5.@.....l...n....*.........n....
2018	2025-11-28 18:51:52.020587	0.009546	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
2020	2025-11-28 18:51:52.020738	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
2022	2025-11-28 18:51:52.020812	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
2024	2025-11-28 18:51:52.020847	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
